iter	Passed	Remaining
0	1	111
1	1	84
2	2	77
3	2	68
4	3	65
5	4	64
6	4	63
7	5	62
8	6	61
9	6	60
10	7	58
11	7	57
12	8	56
13	8	54
14	9	53
15	10	52
16	10	52
17	11	51
18	11	50
19	12	50
20	13	49
21	13	48
22	14	47
23	14	46
24	15	46
25	15	45
26	16	44
27	16	43
28	17	43
29	18	42
30	18	42
31	19	41
32	20	40
33	20	39
34	21	39
35	21	38
36	22	37
37	22	36
38	23	36
39	23	35
40	24	34
41	24	33
42	25	33
43	25	32
44	26	31
45	26	31
46	27	30
47	27	29
48	28	29
49	28	28
50	29	28
51	29	27
52	30	26
53	30	26
54	31	25
55	32	25
56	32	24
57	33	24
58	33	23
59	34	23
60	35	22
61	36	22
62	36	21
63	37	21
64	38	20
65	39	20
66	39	19
67	40	19
68	41	18
69	42	18
70	43	17
71	43	17
72	44	16
73	45	15
74	45	15
75	46	14
76	47	14
77	47	13
78	48	12
79	48	12
80	49	11
81	50	11
82	50	10
83	51	9
84	52	9
85	53	8
86	53	8
87	54	7
88	55	6
89	56	6
90	57	5
91	57	5
92	58	4
93	59	3
94	59	3
95	60	2
96	60	1
97	61	1
98	62	0
99	62	0
